"","catch","year","a3_code"
"215",134964,1984,"NPA"
"216",153723,1985,"NPA"
"217",123000,1986,"NPA"
"218",167099,1987,"NPA"
"219",119360,1988,"NPA"
"220",111433,1989,"NPA"
"221",6043,1990,"NPA"
"222",20846,1991,"NPA"
"223",9611,1992,"NPA"
"224",4782,1993,"NPA"
"225",3975,1994,"NPA"
"226",27150,1995,"NPA"
"227",14103,1996,"NPA"
"228",7925,1997,"NPA"
"229",2335,1998,"NPA"
"230",11137,1999,"NPA"
"231",19460,2000,"NPA"
"232",19677,2001,"NPA"
"233",9027,2002,"NPA"
"234",4427,2003,"NPA"
"235",9259,2004,"NPA"
"236",26451,2005,"NPA"
"237",60933,2006,"NPA"
"238",18569,2007,"NPA"
"239",23896,2008,"NPA"
"240",13412,2009,"NPA"
